"","Texas","TX","0","1",""
"5","Use Critical Attributes to Define","5M.7.2","5M.7","5","TX Mathematics"
"5","Models Transformations","5M.8","5M","4","TX Mathematics"
"5","Translations, Rotations, and Reflections","5M.8.1","5M.8","5","TX Mathematics"
"5","Describe the Transformation","5M.8.2","5M.8","5","TX Mathematics"
"5","Ordered Pairs and Points on a Plane","5M.9","5M","4","TX Mathematics"
"5","Locate & Name Points on a Coordinate Grid","5M.9.1","5M.9","5","TX Mathematics"
"5","Uses Appropriate Units and Procedures","5M.10","5M","4","TX Mathematics"
"5","Measure Volume","5M.10.1","5M.10","5","TX Mathematics"
"5","Estimate Volume","5M.10.2","5M.10","5","TX Mathematics"
"5","Applies Measurement Concepts","5M.11","5M","4","TX Mathematics"
"5","Measure to Solve Problems","5M.11.1","5M.11","5","TX Mathematics"
"5","Describe Numerical Relationships","5M.11.2","5M.11","5","TX Mathematics"
"5","Results of a Probability Experiment","5M.12","5M","4","TX Mathematics"
"5","Use Fractions","5M.12.1","5M.12","5","TX Mathematics"
"5","Use Experimental Results to Make Predictions","5M.12.2","5M.12","5","TX Mathematics"
"5","Solves Problems","5M.13","5M","4","TX Mathematics"
"5","Use Tables of Related Number Pairs","5M.13.1","5M.13","5","TX Mathematics"
"5","Characteristics of Data Presented in Tables&Graphs","5M.13.2","5M.13","5","TX Mathematics"
"5","Graph a Given set of Data","5M.13.3","5M.13","5","TX Mathematics"
"5","Applies Grade 5 Mathematics","5M.14","5M","4","TX Mathematics"
"5","Identify the Mathematics","5M.14.1","5M.14","5","TX Mathematics"
"5","Use a Problem-Solving Model","5M.14.2","5M.14","5","TX Mathematics"
"5","Select Develop Appropriate Problem-SolvingStrategy","5M.14.3","5M.14","5","TX Mathematics"
"5","Use Tools","5M.14.4","5M.14","5","TX Mathematics"
"5","Communicates About Grade 5 Mathematics","5M.15","5M","4","TX Mathematics"
"5","Explain and Record Observations","5M.15.1","5M.15","5","TX Mathematics"
"5","Relate Informal Language","5M.15.2","5M.15","5","TX Mathematics"
"5","Uses Logical Reasoning","5M.16","5M","4","TX Mathematics"
"5","Make Generalizations","5M.16.1","5M.16","5","TX Mathematics"
"5","Justify Why an Answer is Reasonable","5M.16.2","5M.16","5","TX Mathematics"
"6","Grade 6","6","TX","2",""
"6","English Language Arts","6E","6","3","TX English Language Arts"
"6","Reading","6E.1","6E","4","TX English Language Arts"
"6","Uses a Variety of Word Recognition Strategies","6E.1.1","6E.1","5","TX English Language Arts"
"6","Apply Knowledge of Letter-Sound Correspondences","6E.1.1.1","6E.1.1","6","TX English Language Arts"
"6","Use Structural Analysis","6E.1.1.2","6E.1.1","6","TX English Language Arts"
"6","Meanings, Pronunciation, and Derivations of Words","6E.1.1.3","6E.1.1","6","TX English Language Arts"
"6","Reads With Fluency and Understanding","6E.1.2","6E.1","5","TX English Language Arts"
"6","Read Regularly in Independent-Level Materials","6E.1.2.1","6E.1.2","6","TX English Language Arts"
"6","Read Regularly in Instructional-Level Materials","6E.1.2.2","6E.1.2","6","TX English Language Arts"
"6","Characteristics of Fluent and Effective Readers","6E.1.2.3","6E.1.2","6","TX English Language Arts"
"6","Adjust Reading Rate","6E.1.2.4","6E.1.2","6","TX English Language Arts"
"6","Read Aloud in Selected Texts","6E.1.2.5","6E.1.2","6","TX English Language Arts"
"6","Read Silently","6E.1.2.6","6E.1.2","6","TX English Language Arts"
"6","Reads Widely for Different Purposes","6E.1.3","6E.1","5","TX English Language Arts"
"6","Read Classic and Contemporary Works","6E.1.3.1","6E.1.3","6","TX English Language Arts"
"6","Select Varied Sources","6E.1.3.2","6E.1.3","6","TX English Language Arts"
"6","Read for Varied Puposes","6E.1.3.3","6E.1.3","6","TX English Language Arts"
"6","Read to Take Action","6E.1.3.4","6E.1.3","6","TX English Language Arts"
"6","Acquires an Extensive Vocabulary","6E.1.4","6E.1","5","TX English Language Arts"
"6","Develop Vocabulary by Listening","6E.1.4.1","6E.1.4","6","TX English Language Arts"
"6","Bring Meanings to Words in Context","6E.1.4.2","6E.1.4","6","TX English Language Arts"
"6","Use Multiple Reference Aids","6E.1.4.3","6E.1.4","6","TX English Language Arts"
"6","Determine Meanings of Derivatives","6E.1.4.4","6E.1.4","6","TX English Language Arts"
"6","Study Word Meanings","6E.1.4.5","6E.1.4","6","TX English Language Arts"
"6","Denotative and Connotative Meaning","6E.1.4.6","6E.1.4","6","TX English Language Arts"
"6","Use Word Origins","6E.1.4.7","6E.1.4","6","TX English Language Arts"
"6","Comprehends Selections","6E.1.5","6E.1","5","TX English Language Arts"
"6","Own Knowledge and Experience to Comprehend","6E.1.5.1","6E.1.5","6","TX English Language Arts"
"6","Establish and Adjust Purposes for Reading","6E.1.5.2","6E.1.5","6","TX English Language Arts"
"6","Monitor His Her Own Comprehension","6E.1.5.3","6E.1.5","6","TX English Language Arts"
"6","Describe Mental Images","6E.1.5.4","6E.1.5","6","TX English Language Arts"
"6","Text's Structure or Progression of Ideas","6E.1.5.5","6E.1.5","6","TX English Language Arts"
"6","Determine a Text's Main Idea","6E.1.5.6","6E.1.5","6","TX English Language Arts"
"6","Paraphrase and Summarize Text","6E.1.5.7","6E.1.5","6","TX English Language Arts"
"6","Draw Inferences","6E.1.5.8","6E.1.5","6","TX English Language Arts"
"6","Similarities and Differences Across Texts","6E.1.5.9","6E.1.5","6","TX English Language Arts"
"6","Distinguish Fact and Opinion","6E.1.5.10","6E.1.5","6","TX English Language Arts"
"6","Different Types and Levels of Questions","6E.1.5.11","6E.1.5","6","TX English Language Arts"
"6","Represent Text Information","6E.1.5.12","6E.1.5","6","TX English Language Arts"
"6","Use Study Strategies","6E.1.5.13","6E.1.5","6","TX English Language Arts"
"6","Expresses and Supports Responses","6E.1.6","6E.1","5","TX English Language Arts"
"6","Offer Observations","6E.1.6.1","6E.1.6","6","TX English Language Arts"
"6","Interpret Text Ideas","6E.1.6.2","6E.1.6","6","TX English Language Arts"
"6","Support Responses","6E.1.6.3","6E.1.6","6","TX English Language Arts"
"6","Connect, Compare, and Contrast Ideas","6E.1.6.4","6E.1.6","6","TX English Language Arts"
"6","Analyzes the Characteristics of Text","6E.1.7","6E.1","5","TX English Language Arts"
"6","Purposes of Different Types of Texts","6E.1.7.1","6E.1.7","6","TX English Language Arts"
"6","Distinguishing Features of Genres","6E.1.7.2","6E.1.7","6","TX English Language Arts"
"6","Compare Communication","6E.1.7.3","6E.1.7","6","TX English Language Arts"
"6","Understand and Identify Literary Terms","6E.1.7.4","6E.1.7","6","TX English Language Arts"
"6","Understand Literary Forms","6E.1.7.5","6E.1.7","6","TX English Language Arts"
"6","Analyze Characters","6E.1.7.6","6E.1.7","6","TX English Language Arts"
"6","Author's Perspective or Point of View","6E.1.7.7","6E.1.7","6","TX English Language Arts"
"6","Ways Authors Organize and Present Ideas","6E.1.7.8","6E.1.7","6","TX English Language Arts"
"6","Recognize and Interpret Literary Devices","6E.1.7.9","6E.1.7","6","TX English Language Arts"
"6","Style, Tone, and Mood","6E.1.7.10","6E.1.7","6","TX English Language Arts"
"6","Recognize and Analyze","6E.1.7.11","6E.1.7","6","TX English Language Arts"
"6","Inquires and Conducts Research","6E.1.8","6E.1","5","TX English Language Arts"
"6","Form and Revise Questions For Investigations","6E.1.8.1","6E.1.8","6","TX English Language Arts"
"6","Use Text Organizers","6E.1.8.2","6E.1.8","6","TX English Language Arts"
"6","Use Multiple Sources","6E.1.8.3","6E.1.8","6","TX English Language Arts"
"6","Interpret and Use Graphic Sources of Information","6E.1.8.4","6E.1.8","6","TX English Language Arts"
"6","Summarize and Organize Information","6E.1.8.5","6E.1.8","6","TX English Language Arts"
"6","Produce Research Projects and Reports","6E.1.8.6","6E.1.8","6","TX English Language Arts"
"6","Draw Conclusions from Information","6E.1.8.7","6E.1.8","6","TX English Language Arts"
"6","Use Compiled Information","6E.1.8.8","6E.1.8","6","TX English Language Arts"
"6","Present Organized Statements, Reports, Speeches","6E.1.8.9","6E.1.8","6","TX English Language Arts"
"6","Reads to Increase Knowledge","6E.1.9","6E.1","5","TX English Language Arts"
"6","Compare Text Events","6E.1.9.1","6E.1.9","6","TX English Language Arts"
"6","Distinctive and Common Characteristics of Cultures","6E.1.9.2","6E.1.9","6","TX English Language Arts"
"6","Articulate and Discuss Themes and Connections]","6E.1.9.3","6E.1.9","6","TX English Language Arts"
"6","Writing","6E.2","6E","4","TX English Language Arts"
"6","Writes for a Variety of Audience","6E.2.1","6E.2","5","TX English Language Arts"
"6","Write to Express","6E.2.1.1","6E.2.1","6","TX English Language Arts"
"6","Write to Influence","6E.2.1.2","6E.2.1","6","TX English Language Arts"
"6","Write to Inform","6E.2.1.3","6E.2.1","6","TX English Language Arts"
"6","Select and Use Voice and Style","6E.2.1.4","6E.2.1","6","TX English Language Arts"
"6","Choose the Appropriate Form","6E.2.1.5","6E.2.1","6","TX English Language Arts"
"6","Use Literary Devices","6E.2.1.6","6E.2.1","6","TX English Language Arts"
"6","Produce Cohesive and Coherent Texts","6E.2.1.7","6E.2.1","6","TX English Language Arts"
"6","Composes Original Texts","6E.2.2","6E.2","5","TX English Language Arts"
"6","Write Legibly","6E.2.2.1","6E.2.2","6","TX English Language Arts"
"6","Capitalize and Punctuate Correctly","6E.2.2.2","6E.2.2","6","TX English Language Arts"
"6","Spelling of Syllable Constructions","6E.2.2.3","6E.2.2","6","TX English Language Arts"
"6","Spelling of Roots","6E.2.2.4","6E.2.2","6","TX English Language Arts"
"6","Use Resourses to Find Correct Spelling","6E.2.2.5","6E.2.2","6","TX English Language Arts"
"6","Spell Accurately in Final Drafts","6E.2.2.6","6E.2.2","6","TX English Language Arts"
"6","Applies Standard Grammar and Usage","6E.2.3","6E.2","5","TX English Language Arts"
"6","Use Regular and Irregular Plurals","6E.2.3.1","6E.2.3","6","TX English Language Arts"
"6","Write in Complete Sentences","6E.2.3.2","6E.2.3","6","TX English Language Arts"
"6","Use Conjunctions","6E.2.3.3","6E.2.3","6","TX English Language Arts"
"6","Use Adjectives","6E.2.3.4","6E.2.3","6","TX English Language Arts"
"6","Use Prepositional Phrases","6E.2.3.5","6E.2.3","6","TX English Language Arts"
"6","Employ Standard English","6E.2.3.6","6E.2.3","6","TX English Language Arts"
"6","Use Verb Tenses Appropriately","6E.2.3.7","6E.2.3","6","TX English Language Arts"
"6","Using Apostrophes in Contractions","6E.2.3.8","6E.2.3","6","TX English Language Arts"
"6","Using Pronoun Case","6E.2.3.9","6E.2.3","6","TX English Language Arts"
"6","Selects and Uses Writing Processes","6E.2.4","6E.2","5","TX English Language Arts"
"6","Generate Ideas and Plans for Writing","6E.2.4.1","6E.2.4","6","TX English Language Arts"
"6","Develop Drafts by Categorizing Ideas","6E.2.4.2","6E.2.4","6","TX English Language Arts"
"6","Revise Selected Drafts","6E.2.4.3","6E.2.4","6","TX English Language Arts"
"6","Revise Drafts for Coherence","6E.2.4.4","6E.2.4","6","TX English Language Arts"
"6","Edit Drafts for Specific Purposes","6E.2.4.5","6E.2.4","6","TX English Language Arts"
"6","Use Available Technology","6E.2.4.6","6E.2.4","6","TX English Language Arts"
"6","Refine Selected Prices","6E.2.4.7","6E.2.4","6","TX English Language Arts"
"6","Proofread his her Own Writing","6E.2.4.8","6E.2.4","6","TX English Language Arts"
"6","Select and Use Reference Materials","6E.2.4.9","6E.2.4","6","TX English Language Arts"
"6","Evaluates Own Writing","6E.2.5","6E.2","5","TX English Language Arts"
"6","Apply Criteria to Evaluate Writing","6E.2.5.1","6E.2.5","6","TX English Language Arts"
"6","Respond in Constructive Ways","6E.2.5.2","6E.2.5","6","TX English Language Arts"
"6","Writing Achieves its Purposes","6E.2.5.3","6E.2.5","6","TX English Language Arts"
"6","Analyze Published Examples","6E.2.5.4","6E.2.5","6","TX English Language Arts"
"6","Review a Collection of Written Works","6E.2.5.5","6E.2.5","6","TX English Language Arts"
"6","Uses Writing as a Tool","6E.2.6","6E.2","5","TX English Language Arts"
"6","Frame Questions to Direct Research","6E.2.6.1","6E.2.6","6","TX English Language Arts"
"6","Organize Prior Knowledge","6E.2.6.2","6E.2.6","6","TX English Language Arts"
"6","Take Notes From Relevant and Authoritative Sources","6E.2.6.3","6E.2.6","6","TX English Language Arts"
"6","Summarize and Organize Ideas","6E.2.6.4","6E.2.6","6","TX English Language Arts"
"6","Present Information","6E.2.6.5","6E.2.6","6","TX English Language Arts"
"6","Evaluate His Her Own Research","6E.2.6.6","6E.2.6","6","TX English Language Arts"
"6","Follow Accepted Formats","6E.2.6.7","6E.2.6","6","TX English Language Arts"
"6","Writers Inside and Outside Classroom","6E.2.7","6E.2","5","TX English Language Arts"
"6","Collaborate with Other Writers","6E.2.7.1","6E.2.7","6","TX English Language Arts"
"6","Correspond with Peers or Other Via Mail","6E.2.7.2","6E.2.7","6","TX English Language Arts"
"6","Understands and Interprets Visual Images","6E.2.8","6E.2","5","TX English Language Arts"
"6","Illustrator's Choice of Style, Elements, and Media","6E.2.8.1","6E.2.8","6","TX English Language Arts"
"6","Interpret Important Events and Ideas","6E.2.8.2","6E.2.8","6","TX English Language Arts"
"6","Use Media to Compare Ideas and Points of View","6E.2.8.3","6E.2.8","6","TX English Language Arts"
"6","Visual Images, Messages, and Meanings","6E.2.9","6E.2","5","TX English Language Arts"
"6","Visual Image Makers Represent Meanings","6E.2.9.1","6E.2.9","6","TX English Language Arts"
"6","Print, Visual, and Electronic Media","6E.2.9.2","6E.2.9","6","TX English Language Arts"
"6","Purposes and Effects of Varying Media","6E.2.9.3","6E.2.9","6","TX English Language Arts"
"6","How Different Media Forms Influence and Inform","6E.2.9.4","6E.2.9","6","TX English Language Arts"
"6","Produces Visual Images","6E.2.10","6E.2","5","TX English Language Arts"
"6","Visuals to Complement and Extend Meanings","6E.2.10.1","6E.2.10","6","TX English Language Arts"
"6","Produce Communications Using Technology","6E.2.10.2","6E.2.10","6","TX English Language Arts"
"6","Lang.,Medium,andPresentation Contribute to Message","6E.2.10.3","6E.2.10","6","TX English Language Arts"
"6","Mathematics","6M","6","3","TX Mathematics"
"6","Represents and Uses Rational Numbers","6M.1","6M","4","TX Mathematics"
"6","Compare and Order Non-Negative Rational Numbers","6M.1.1","6M.1","5","TX Mathematics"
"6","Generate Equivalent Forms","6M.1.2","6M.1","5","TX Mathematics"
"6","Use Integers","6M.1.3","6M.1","5","TX Mathematics"
"6","Write Prime Factorizations","6M.1.4","6M.1","5","TX Mathematics"
"6","Identify Factors and Multiples","6M.1.5","6M.1","5","TX Mathematics"
"6","Adds,Sub.,Mult.,and Div.,to Solve Problems","6M.2","6M","4","TX Mathematics"
"6","Model Addition and Subtraction Situations","6M.2.1","6M.2","5","TX Mathematics"
"6","Use Addition and Subtraction to Solve Problems","6M.2.2","6M.2","5","TX Mathematics"
"6","Use Multiplication and Division to Solve Problems","6M.2.3","6M.2","5","TX Mathematics"
"6","Estimate and Round","6M.2.4","6M.2","5","TX Mathematics"
"6","Solves Problems","6M.3","6M","4","TX Mathematics"
"6","Use Ratios","6M.3.1","6M.3","5","TX Mathematics"
"6","Represent Ratios and Persents","6M.3.2","6M.3","5","TX Mathematics"
"6","Use Ratios to Make Predictions","6M.3.3","6M.3","5","TX Mathematics"
"6","Uses Letters as Variables","6M.4","6M","4","TX Mathematics"
"6","Use Tables and Symbols","6M.4.1","6M.4","5","TX Mathematics"
"6","Generate Formulas","6M.4.2","6M.4","5","TX Mathematics"
"6","Uses Letters to Represent an Unknown","6M.5","6M","4","TX Mathematics"
"6","Formulate an Equation from a Problem Situation","6M.5.1","6M.5","5","TX Mathematics"
"6","Uses Geometric Vocabulary","6M.6","6M","4","TX Mathematics"
"6","Use Angle Measurements","6M.6.1","6M.6","5","TX Mathematics"
"6","Angles in Triangles and Quadrilaterals","6M.6.2","6M.6","5","TX Mathematics"
"6","Radius, Diameter, and Circumference of a Circle","6M.6.3","6M.6","5","TX Mathematics"
"6","Coordinate Geometry","6M.7","6M","4","TX Mathematics"
"6","Locate & Name Points on a Coordinate Plane","6M.7.1","6M.7","5","TX Mathematics"
"6","Solves Application Problems","6M.8","6M","4","TX Mathematics"
"6","Estimate Measurements and Evaluate Reasonableness","6M.8.1","6M.8","5","TX Mathematics"
"6","Select and Use Appropriate Units, Tools or Formula","6M.8.2","6M.8","5","TX Mathematics"
"6","Measure Angles","6M.8.3","6M.8","5","TX Mathematics"
"6","Convert Measures","6M.8.4","6M.8","5","TX Mathematics"
"6","Experimental and Theoretical Probability","6M.9","6M","4","TX Mathematics"
"6","Construct Sample Spaces","6M.9.1","6M.9","5","TX Mathematics"
"6","Find the Probabilities of a Simple Event","6M.9.2","6M.9","5","TX Mathematics"
"6","Uses Statistical Representations","6M.10","6M","4","TX Mathematics"
"6","Draw & Compare Different Graphical Representations","6M.10.1","6M.10","5","TX Mathematics"
"6","Use Median, Mode and Range to Describe Data","6M.10.2","6M.10","5","TX Mathematics"
"6","Sketch Circle Graphs","6M.10.3","6M.10","5","TX Mathematics"
"6","Solve Problems","6M.10.4","6M.10","5","TX Mathematics"
"6","Applies Grade 6 Math to Solve Problems","6M.11","6M","4","TX Mathematics"
"6","Identify and Apply Math to Everyday Experiences","6M.11.1","6M.11","5","TX Mathematics"
"6","Use a Problem-Solving Model","6M.11.2","6M.11","5","TX Mathematics"
"6","Select Develop Appropriate Problem-SolvingStrategy","6M.11.3","6M.11","5","TX Mathematics"
"6","Select Tools","6M.11.4","6M.11","5","TX Mathematics"
"6","Communicates about Grade 6 Mathematics","6M.12","6M","4","TX Mathematics"
"6","Communicate Mathematical Ideas","6M.12.1","6M.12","5","TX Mathematics"
"6","Evaluate Effectiveness of Different Representation","6M.12.2","6M.12","5","TX Mathematics"
"6","Uses Logical Reasoning","6M.13","6M","4","TX Mathematics"
"6","Make Conjectures","6M.13.1","6M.13","5","TX Mathematics"
"6","Validate His Her Conclusions","6M.13.2","6M.13","5","TX Mathematics"
"7","Grade 7","7","TX","2",""
"7","English Language Arts","7E","7","3","TX English Language Arts"
"7","Reading","7E.1","7E","4","TX English Language Arts"
"7","Variety of Word Recognition Strategies","7E.1.1","7E.1","5","TX English Language Arts"
"7","Apply Knowledge of Letter-Sound Correspondences","7E.1.1.1","7E.1.1","6","TX English Language Arts"
"7","Use Structural Analysis to Identify Words","7E.1.1.2","7E.1.1","6","TX English Language Arts"
"7","Meaning, Pronunciations, and Derivatives of Words","7E.1.1.3","7E.1.1","6","TX English Language Arts"
"7","Reads With Fluency and Understanding","7E.1.2","7E.1","5","TX English Language Arts"
"7","Read Regularly in Independent-Level Material","7E.1.2.1","7E.1.2","6","TX English Language Arts"
"7","Read Regularly in Instructional-Level Materials","7E.1.2.2","7E.1.2","6","TX English Language Arts"
"7","Adjust Reading Rate","7E.1.2.3","7E.1.2","6","TX English Language Arts"
"7","Read Aloud in Selected Texts","7E.1.2.4","7E.1.2","6","TX English Language Arts"
"7","Read Silently with Increasing Ease","7E.1.2.5","7E.1.2","6","TX English Language Arts"
"7","Read Widely for Different Purposes","7E.1.3","7E.1","5","TX English Language Arts"
"7","Read Classic and Contemporary Works","7E.1.3.1","7E.1.3","6","TX English Language Arts"
"7","Select Varied Sources","7E.1.3.2","7E.1.3","6","TX English Language Arts"
"7","Read for Varied Purposes","7E.1.3.3","7E.1.3","6","TX English Language Arts"
"7","Read to Take Action","7E.1.3.4","7E.1.3","6","TX English Language Arts"
"7","Acquires and Extensive Vocabulary","7E.1.4","7E.1","5","TX English Language Arts"
"7","Develop Vocabulary by Listening","7E.1.4.1","7E.1.4","6","TX English Language Arts"
"7","Experiences Bring Meaning to Words in Context","7E.1.4.2","7E.1.4","6","TX English Language Arts"
"7","Use Multiple Reference Aids","7E.1.4.3","7E.1.4","6","TX English Language Arts"
"7","Determine Meanings of Derivatives","7E.1.4.4","7E.1.4","6","TX English Language Arts"
"7","Study Word Meanings Systematically","7E.1.4.5","7E.1.4","6","TX English Language Arts"
"7","Denotative and Connotative Meanings","7E.1.4.6","7E.1.4","6","TX English Language Arts"
"7","Use Word Origins","7E.1.4.7","7E.1.4","6","TX English Language Arts"
"7","Uses a Variety of Strategies","7E.1.5","7E.1","5","TX English Language Arts"
"7","Use His Her Own Knowledge and Experience","7E.1.5.1","7E.1.5","6","TX English Language Arts"
"7","Establish and Adjust Purposes for Reading","7E.1.5.2","7E.1.5","6","TX English Language Arts"
"7","Monitor His Her Own Comprehension","7E.1.5.3","7E.1.5","6","TX English Language Arts"
"7","Describe Mental Images","7E.1.5.4","7E.1.5","6","TX English Language Arts"
"7","Text's Structure or Progression of Ideas","7E.1.5.5","7E.1.5","6","TX English Language Arts"
"7","Determine a Text's Main Ideas","7E.1.5.6","7E.1.5","6","TX English Language Arts"
"7","Paraphrase and Summarize Text","7E.1.5.7","7E.1.5","6","TX English Language Arts"
"7","Draw Inferences","7E.1.5.8","7E.1.5","6","TX English Language Arts"
"7","Find Similarities and Differences","7E.1.5.9","7E.1.5","6","TX English Language Arts"
"7","Distinguish Fact and Opinion","7E.1.5.10","7E.1.5","6","TX English Language Arts"
"7","Answer Different Types and Levels of Questions","7E.1.5.11","7E.1.5","6","TX English Language Arts"
"7","Represent Text Information","7E.1.5.12","7E.1.5","6","TX English Language Arts"
"7","Use Study Strategies to Learn and Recall","7E.1.5.13","7E.1.5","6","TX English Language Arts"
"7","Expresses and Supports Responses","7E.1.6","7E.1","5","TX English Language Arts"
"7","Offer Observations, Make Connections","7E.1.6.1","7E.1.6","6","TX English Language Arts"
"7","Interpret Text Ideas","7E.1.6.2","7E.1.6","6","TX English Language Arts"
"7","Support Responses","7E.1.6.3","7E.1.6","6","TX English Language Arts"
"7","Connect, Compare, and Contrast","7E.1.6.4","7E.1.6","6","TX English Language Arts"
"7","Various Types of Texts (Genres)","7E.1.7","7E.1","5","TX English Language Arts"
"7","Purposes of Different Types of Texts","7E.1.7.1","7E.1.7","6","TX English Language Arts"
"7","Distinguishing Features of Genres","7E.1.7.2","7E.1.7","6","TX English Language Arts"
"7","Compare Communication in Different Forms","7E.1.7.3","7E.1.7","6","TX English Language Arts"
"7","Understand and Identify Literary Terms","7E.1.7.4","7E.1.7","6","TX English Language Arts"
"7","Understand Literary Forms","7E.1.7.5","7E.1.7","6","TX English Language Arts"
"7","Analyze Characters","7E.1.7.6","7E.1.7","6","TX English Language Arts"
"7","Recognize and Analyze","7E.1.7.7","7E.1.7","6","TX English Language Arts"
"7","Author's Perspective or Point of View","7E.1.7.8","7E.1.7","6","TX English Language Arts"
"7","Ways Authors Organize and Present Ideas","7E.1.7.9","7E.1.7","6","TX English Language Arts"
"7","Recognize and Interpret Literary Devices","7E.1.7.10","7E.1.7","6","TX English Language Arts"
"7","Recognize Style,Tone, and Mood","7E.1.7.11","7E.1.7","6","TX English Language Arts"
"7","Inquires and Conducts Research","7E.1.8","7E.1","5","TX English Language Arts"
"7","Form and Revise Questions","7E.1.8.1","7E.1.8","6","TX English Language Arts"
"7","Use Text Organizers","7E.1.8.2","7E.1.8","6","TX English Language Arts"
"7","Use Multiple Sources","7E.1.8.3","7E.1.8","6","TX English Language Arts"
"7","Interpret and Use Graphic Sources of Information","7E.1.8.4","7E.1.8","6","TX English Language Arts"
"7","Summarize and Organize Information","7E.1.8.5","7E.1.8","6","TX English Language Arts"
"7","Produce Research Projects","7E.1.8.6","7E.1.8","6","TX English Language Arts"
"7","Draw Conclusions","7E.1.8.7","7E.1.8","6","TX English Language Arts"
"7","Use Compiled Information and Knowledge","7E.1.8.8","7E.1.8","6","TX English Language Arts"
"7","Present Organized Statements","7E.1.8.9","7E.1.8","6","TX English Language Arts"
"7","Reads to Increase Knowledge","7E.1.9","7E.1","5","TX English Language Arts"
"7","Compare Text Events","7E.1.9.1","7E.1.9","6","TX English Language Arts"
"7","Distinctive and Common Characteristics of Cultures","7E.1.9.2","7E.1.9","6","TX English Language Arts"
"7","Themes and Connections","7E.1.9.3","7E.1.9","6","TX English Language Arts"
"7","Writing","7E.2","7E","4","TX English Language Arts"
"7","Writes For a Variety of Audiences","7E.2.1","7E.2","5","TX English Language Arts"
"7","Write to Express","7E.2.1.1","7E.2.1","6","TX English Language Arts"
"7","Write to Influence","7E.2.1.2","7E.2.1","6","TX English Language Arts"
"7","Write to Inform","7E.2.1.3","7E.2.1","6","TX English Language Arts"
"7","Write to Entertain","7E.2.1.4","7E.2.1","6","TX English Language Arts"
"7","Select and Use Voice and Style","7E.2.1.5","7E.2.1","6","TX English Language Arts"
"7","Choose the Appropriate Form for Writing","7E.2.1.6","7E.2.1","6","TX English Language Arts"
"7","Use Literary Devises","7E.2.1.7","7E.2.1","6","TX English Language Arts"
"7","Produce Cohensive and Coherent Written Texts","7E.2.1.8","7E.2.1","6","TX English Language Arts"
"7","Compose Original Texts","7E.2.2","7E.2","5","TX English Language Arts"
"7","Write Legibly","7E.2.2.1","7E.2.2","6","TX English Language Arts"
"7","Capitalize and Punctuate Correctly","7E.2.2.2","7E.2.2","6","TX English Language Arts"
"7","Spell Derivatives Correctly","7E.2.2.3","7E.2.2","6","TX English Language Arts"
"7","Spell Frequently Misspelled Words Correctly","7E.2.2.4","7E.2.2","6","TX English Language Arts"
"7","Use Resourses to Find Correct Spelling","7E.2.2.5","7E.2.2","6","TX English Language Arts"
"7","Spell Accurately in Final Drafts","7E.2.2.6","7E.2.2","6","TX English Language Arts"
"7","Influence of Languages and Cultures on Spelling","7E.2.2.7","7E.2.2","6","TX English Language Arts"
"7","Applies Standard Grammar and Usage","7E.2.3","7E.2","5","TX English Language Arts"
"7","Write in Complete Sentences","7E.2.3.1","7E.2.3","6","TX English Language Arts"
"7","Use Conjunctions","7E.2.3.2","7E.2.3","6","TX English Language Arts"
"7","Employ Standard English","7E.2.3.3","7E.2.3","6","TX English Language Arts"
"7","Use Adjectives","7E.2.3.4","7E.2.3","6","TX English Language Arts"
"7","Use Prepositional Phrases","7E.2.3.5","7E.2.3","6","TX English Language Arts"
"7","Use Verb Tenses","7E.2.3.6","7E.2.3","6","TX English Language Arts"
"7","Accuracy When Using Apostrophes","7E.2.3.7","7E.2.3","6","TX English Language Arts"
"7","Accuracy When Using Pronoun Case","7E.2.3.8","7E.2.3","6","TX English Language Arts"
"7","Selects and Uses Writing Processes","7E.2.4","7E.2","5","TX English Language Arts"
"7","Generate Ideas and Plans for Writing","7E.2.4.1","7E.2.4","6","TX English Language Arts"
"7","Develop Drafts by Categorizing Ideas","7E.2.4.2","7E.2.4","6","TX English Language Arts"
"7","Revise Selected Drafts","7E.2.4.3","7E.2.4","6","TX English Language Arts"
"7","Revise Drafts For Coherence","7E.2.4.4","7E.2.4","6","TX English Language Arts"
"7","Edit Drafts for Specific Purposes","7E.2.4.5","7E.2.4","6","TX English Language Arts"
"7","Use Available Technology","7E.2.4.6","7E.2.4","6","TX English Language Arts"
"7","Refine Selected Pieces","7E.2.4.7","7E.2.4","6","TX English Language Arts"
"7","Proofread His Her Own Writing","7E.2.4.8","7E.2.4","6","TX English Language Arts"
"7","Select and Use Reference Materials","7E.2.4.9","7E.2.4","6","TX English Language Arts"
"7","Evaluates His Her Own Writing","7E.2.5","7E.2","5","TX English Language Arts"
"7","Apply Criteria to Evaluate Writing","7E.2.5.1","7E.2.5","6","TX English Language Arts"
"7","Respond to Other's Writings","7E.2.5.2","7E.2.5","6","TX English Language Arts"
"7","How Well Own Writing Achieves Purposes","7E.2.5.3","7E.2.5","6","TX English Language Arts"
"7","Analyze Published Examples for Writing","7E.2.5.4","7E.2.5","6","TX English Language Arts"
"7","Review a Collection of Written Works","7E.2.5.5","7E.2.5","6","TX English Language Arts"
"7","Uses Writing as a Tool","7E.2.6","7E.2","5","TX English Language Arts"
"7","Frame Questions to Direct Research","7E.2.6.1","7E.2.6","6","TX English Language Arts"
